DateTime,Scenario,Model,Invocation Mode,Model ID,Expected Supported,CRIS ARN,CRIS Type,STS ApplicationShortname,STS AssetID,Request ID,Input Tokens,Output Tokens,Total Tokens,Status,Validation,Error
2026-09-03T18:53:44.890713+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,GLOBAL_CRIS,global.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-sonnet-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:53:45.114360+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,DIRECT,anthropic.claude-opus-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-opus-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:53:45.544620+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,US_CRIS,us.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,450b9bdc-de40-49dd-ac55-758a795d91e1,30,256,286,SUCCESS,PASS,
2026-09-03T18:53:51.480282+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,GLOBAL_CRIS,global.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-opus-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:53:51.692224+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,DIRECT,amazon.nova-2-lite-v1:0,True,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID amazon.nova-2-lite-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:53:51.785924+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,US_CRIS,us.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,95f50af5-3acb-4e59-b31e-643e4728b4ef,57,126,183,SUCCESS,PASS,
2026-09-03T18:53:53.501875+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,GLOBAL_CRIS,global.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/amazon.nova-2-lite-v1:0 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:53:53.689819+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,DIRECT,meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID meta.llama4-maverick-17b-instruct-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:53:53.786470+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,US_CRIS,us.meta.llama4-maverick-17b-instruct-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.meta.llama4-maverick-17b-instruct-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,ba655048-7b54-49da-a1d5-9d39c80110ea,46,84,130,SUCCESS,PASS,
2026-09-03T18:53:54.662458+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,GLOBAL_CRIS,global.meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: The provided model identifier is invalid.
2026-09-08T14:22:55.726971+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,DIRECT,anthropic.claude-sonnet-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-sonnet-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-08T14:22:55.833991+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,US_CRIS,us.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,371956a5-d3aa-4188-a1dd-1cea39caef7f,30,224,254,SUCCESS,PASS,
2026-09-08T14:23:00.340847+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,GLOBAL_CRIS,global.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-sonnet-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-08T14:23:00.572690+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,DIRECT,anthropic.claude-opus-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-opus-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-08T14:23:00.663232+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,US_CRIS,us.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,faab0acd-405f-4903-beec-2647e72d22d4,30,256,286,SUCCESS,PASS,
2026-09-08T14:23:05.176490+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,GLOBAL_CRIS,global.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-opus-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-08T14:23:05.382972+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,DIRECT,amazon.nova-2-lite-v1:0,True,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID amazon.nova-2-lite-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-08T14:23:05.481984+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,US_CRIS,us.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,da1b5db4-7328-4dce-8471-36f6c206fc66,57,95,152,SUCCESS,PASS,
2026-09-08T14:23:06.679596+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,GLOBAL_CRIS,global.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/amazon.nova-2-lite-v1:0 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-08T14:23:06.897470+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,DIRECT,meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID meta.llama4-maverick-17b-instruct-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-08T14:23:07.004366+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,US_CRIS,us.meta.llama4-maverick-17b-instruct-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.meta.llama4-maverick-17b-instruct-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,75c74124-a070-4adb-82ec-fa02f73ecb20,46,88,134,SUCCESS,PASS,
2026-09-08T14:23:08.110093+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,GLOBAL_CRIS,global.meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: The provided model identifier is invalid.
